personCLASE,corpus,palabras,signal_mean_chroma_stft,signal_mode_chroma_stft,signal_mean_mfcc,signal_iqr_mfcc,zero_crossings,signal_mean_spectral_bandwidth,signal_mode_spectral_bandwidth,signal_mean_beats,signal_estimate_tuning,fftfreq_mean,fftfreq_mode,fftfreq_iqr,mean_SIGNAL_chroma_cq,signal_iqr_chroma_cq,signal_mean_y_harmonic,signal_median_y_harmonic,signal_mean_percussive,signal_mode_percussive,signal_median_stft,signal_iqr_stft,signal_median_spectral_bandwidth,mean_signal_spectral_contrast,signal_iqr_percussive
FEMALE,0,8,0.28940347,0.023571476,-12.341653,25.9496026,1359,2778.259723,2742.662064,10,-0.26,-1.48E-17,-0.499987015,0.499987015,0.24603066,0.309516394,-6.67E-06,4.89E-05,5.45E-05,-0.08320846,0.016331242,0.223543846,2778.959885,20.93775728,0.024397404
FEMALE,0,9,0.32573578,0.028864129,-10.316677,25.37481678,1972,3228.915373,4050.214027,21,-0.48,-1.36E-05,-0.5,0.499986437,0.23991655,0.340373871,-0.000104269,0.000561664,8.06E-05,-0.035754543,0.038030993,0.305238782,2814.692853,19.92224287,0.041676918
FEMALE,0,10,0.28019992,0.01757173,-11.644989,27.93495786,787,2595.518892,3679.662297,24,-0.2,-1.34E-05,-0.5,0.499986602,0.22385132,0.261123584,8.14E-06,0.017445281,7.19E-05,-0.2614486,0.023456706,0.260894806,2617.250675,23.00105501,0.039523219
FEMALE,0,11,0.31943226,0.1351812,-12.405976,27.74613047,1840,3093.395102,4162.161362,13,-0.39,-2.26E-05,-0.5,0.499977433,0.40124494,0.53911067,3.41E-05,0.002518792,1.04E-05,-0.6518392,0.045174263,0.304654756,2969.128018,20.74450131,0.052753714
FEMALE,0,12,0.36916006,0.19861315,-8.936388,25.28301859,3174,3001.307199,3673.798742,9,-0.45,-1.47E-05,-0.5,0.499985307,0.26153767,0.376997032,3.72E-05,0.002079606,0.000110476,-0.111396074,0.07811253,0.422800314,2936.774973,20.90564708,0.049238939
FEMALE,0,13,0.2480322,0.20719776,-14.435536,25.04342769,535,2568.888037,3570.194694,13,0.24,-4.47E-18,-0.499973799,0.499973799,0.30429944,0.510488232,8.07E-06,0.001334493,-3.17E-06,-0.004348233,0.03253545,0.235487351,2599.266628,22.52590279,0.053939485
FEMALE,0,47,0.2865707,0.17209671,-11.966818,27.09859109,1151,2819.992064,2579.039116,3,-0.32,-2.49E-17,-0.49997806,0.49997806,0.32058072,0.53895173,3.44E-05,-0.000869982,2.34E-05,-0.09960264,0.050614625,0.297832517,2579.039116,21.6966776,0.043091323
FEMALE,0,14,0.3488892,0.062771685,-10.312097,26.03648007,2807,3352.950319,4640.600033,12.5,-0.34,-1.39E-05,-0.5,0.499986143,0.30068174,0.468223163,-5.04E-05,5.49E-05,0.000161191,-0.25118563,0.041832455,0.394663668,2953.48119,19.80816209,0.043918238
FEMALE,0,15,0.28932506,0.03276484,-14.246272,29.29745305,1205,3009.077437,5294.36775,11,0.26,-1.38E-05,-0.5,0.499986211,0.2693395,0.385380082,1.03E-05,-0.00013179,6.42E-05,-0.002367802,0.020384153,0.162955278,2890.680807,21.75768277,0.039599262
FEMALE,0,16,0.35441583,0.0338714,-14.720691,29.19756877,439,2870.33728,3192.071388,3,-0.32,-1.14E-17,-0.499975036,0.499975036,0.3522419,0.520739735,6.40E-06,0.007899143,4.90E-05,-0.08177642,0.034474798,0.241568201,2957.872699,23.00500003,0.053189956
